INDICE_LINHA;NOME_FONTE;ID_ESCOLA;NOME_INEP;MUNICIPIO;CLASSIFICACAO_MATCH;MOTIVO;SCORE
272;Colégio Estadual Profª. Maria Aparecida Militão de S. Pereira;41056388.0;MARIA AP M S PEREIRA C E CM PROFAEF M;Telêmaco Borba;confirmed;Top match claro (score 0.792 vs 0.615);0.792
273;Colégio Estadual Cívico-Militar São Pedro;41056540.0;SAO PEDRO C E CMEF M;Telêmaco Borba;ambiguous;Competição próxima entre 'SAO PEDRO C E CMEF M' (Telêmaco Borba) e 'SAO PEDRO E E C EF' (Santa Izabel do Oeste);1.233
274;Colégio Estadual Cívico Militar Presidente Vargas;41021592.0;VARGAS C E CM PRESEF M;Bela Vista do Paraíso;ambiguous;Competição próxima entre 'VARGAS C E CM PRESEF M' (Bela Vista do Paraíso) e 'HEBER S VARGAS C E CM PROF DREF M P' (Londrina);1.175
275;Colégio Estadual Jardim Alegre;41056264.0;JARDIM ALEGRE C E CMEF M PROFIS;Telêmaco Borba;confirmed;Top match claro (score 1.175 vs 0.940);1.175
276;Colégio Estadual Jardim Zeballos;41360826.0;JARDIM ZEBALLOS C E CMEF M PROFIS;Guaíra;confirmed;Top match claro (score 1.175 vs 0.762);1.175
277;Colégio Estadual Frentino Sackser;41065425.0;FRENTINO SACKSER C E CMEF M PROF;Marechal Cândido Rondon;confirmed;Candidato único com score 1.233;1.233
278;Colegio Estadual Marechal Rondon;41065662.0;RONDON C E CM MALEF M;Marechal Cândido Rondon;ambiguous;Competição próxima entre 'RONDON C E CM MALEF M' (Marechal Cândido Rondon) e 'RONDON C E CM MALEF M PROFIS' (Campo Mourão);1.175
279;Colégio Estadual Barão do Rio Branco;41032853.0;RIO BRANCO C E CM BAR DOEF M;Londrina;ambiguous;Competição próxima entre 'RIO BRANCO C E CM BAR DOEF M' (Londrina) e 'RIO BRANCO C E CM BAR DOEF M' (Palotina);1.233
280;Colégio Estadual Cívico-Militar Antonio José Reis;41068203.0;ANTONIO J REIS C E CMEF M;Toledo;confirmed;Top match claro (score 0.958 vs 0.637);0.958
281;Colégio Estadual Cívico Militar Jardim Maracanã;41068653.0;JARDIM MARACANA C E CMEF M;Toledo;confirmed;Top match claro (score 1.233 vs 0.745);1.233
282;Novo Horizonte, C E-Ef M;41068980.0;NOVO HORIZONTE C E CMEF M PROFIS;Toledo;ambiguous;Competição próxima entre 'NOVO HORIZONTE C E CMEF M PROFIS' (Toledo) e 'NOVO HORIZONTE C EEF M' (Campo Mourão);1.175
283;Escola Estadual Graciliano Ramos;41067029.0;GRACILIANO RAMOS E E CMEF;Santa Helena;confirmed;Top match claro (score 1.233 vs 0.883);1.233
284;Joao Arnaldo Ritt, C E-Ef M;41068688.0;JOAO ARNALDO RITT C E CMEF M;Toledo;confirmed;Top match claro (score 1.262 vs 0.654);1.262
285;Luiz Augusto M Rego, C E-Ef M Profis;41068807.0;LUIZ AUGUSTO M REGO C E CMEF M PROFIS;Toledo;confirmed;Top match claro (score 1.210 vs 0.625);1.21
286;Colégio Estadual Cívico-Militar Cruzeiro do Oeste;41005090.0;CRUZEIRO DO OESTE C E CMEF M PROFIS;Cruzeiro do Oeste;confirmed;Top match claro (score 1.175 vs 0.762);1.175
287;Douradina, C E-Ef M;41005384.0;DOURADINA C E CMEF M PROFIS;Douradina;confirmed;Candidato único com score 1.117;1.117
288;Colégio Cívico militar Padre Manuel Da Nóbrega;41008316.0;MANUEL DA NOBREGA C E CM PEEF M P;Umuarama;confirmed;Top match claro (score 0.958 vs 0.758);0.958
289;Colégio Estadual Monteiro Lobato - EF M;41022416.0;MONTEIRO LOBATO C E CMEF M;Sertanópolis;ambiguous;Competição próxima entre 'MONTEIRO LOBATO C E CMEF M' (Sertanópolis) e 'MONTEIRO LOBATO C E CMEF M' (Cornélio Procópio);1.233
290;Zilda Arns, C E Dra- Ef M;41008472.0;ZILDA ARNS C E CM DRA EF M;Umuarama;confirmed;Top match claro (score 1.350 vs 1.175);1.35
291;Colégio Estadual Anchieta;41004957.0;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;ambiguous;Competição próxima entre 'ANCHIETA C E CMEF M N' (Cruzeiro do Oeste) e 'JOSE DE ANCHIETA C E CM PEEF M PROFIS' (Apucarana);1.175
292;Castelo Branco, C E Pres-Ef M;41007280.0;CASTELO BRANCO E E CM PRESEF;Tapira;ambiguous;Competição próxima entre 'CASTELO BRANCO E E CM PRESEF' (Tapira) e 'CASTELO BRANCO C E CM PRESE F M P' (Clevelândia);1.233
293;Colégio Estadual Cívico-Militar Novo Milênio;41358791.0;NOVO MILENIO C E CMEF M;Bituruna;confirmed;Top match claro (score 1.233 vs 0.883);1.233
294;Colégio Estadual Bernardina Schleder;41117905.0;BERNARDINA SCHLEDER C E CMEF M;União da Vitória;confirmed;Top match claro (score 1.233 vs 0.412);1.233
295;Colégio Estadual João Paulo II;41057694.0;JOAO PAULO II C E CMEF M;Arapoti;ambiguous;Competição próxima entre 'JOAO PAULO II C E CMEF M' (Arapoti) e 'JOAO PAULO I C E CM PAPAEF M P' (Curitiba);1.233
296;Colégio Estadual Anita Canet;41058348.0;ANITA CANET C E CMEF M;Jaguariaíva;confirmed;Top match claro (score 1.233 vs 1.033);1.233
297;Colégio Estadual Olavo Bilac;41014375.0;OLAVO BILAC C E CMEF M;Ubiratã;ambiguous;Competição próxima entre 'OLAVO BILAC C E CMEF M' (Ubiratã) e 'OLAVO BILAC C E CMEF M' (Faxinal);1.233
298;Colégio Estadual Cívico-Militar Newton Sampaio EFM;41052250.0;NEWTON SAMPAIO C E CMEF M;São José da Boa Vista;confirmed;Top match claro (score 1.233 vs 0.762);1.233
299;Colégio Estadual Miguel Nassif Maluf;41053494.0;MIGUEL NASSIF MALUF C E CMEF M;Wenceslau Braz;confirmed;Top match claro (score 1.262 vs 0.617);1.262
300;Escola Estadual Erico Verissimo - Ensino Fundamental;41102274.0;ERICO VERISSIMO C E CMEF M;Laranjeiras do Sul;ambiguous;Competição próxima entre 'ERICO VERISSIMO C E CMEF M' (Laranjeiras do Sul) e 'ERICO VERISSIMO C E CMEF M PROFIS' (Cambé);0.815
301;Vila John Kennedy, C E Da-Ef M;41106172.0;VILA JOHN KENNEDY C E CM DAEF M;Quedas do Iguaçu;confirmed;Top match claro (score 1.262 vs 0.654);1.262
302;Colégio Estadual Osório Duque Estrada;41073037.0;OSORIO DUQUE ESTRADA C E CMEF M;Diamante do Sul;confirmed;Top match claro (score 1.262 vs 0.637);1.262
303;Colégio Estadua Alto Recreio;41105176.0;ALTO RECREIO C E CMEF M;Quedas do Iguaçu;confirmed;Top match claro (score 0.815 vs 0.421);0.815
304;Colégio Estadual Cívico Militar Júlio Farah;41049764.0;JULIO FARAH C E CMEF M;Ibaiti;confirmed;Top match claro (score 1.233 vs 0.745);1.233
305;Colégio Estadual Cívico-Militar Professor Segismundo Antunes Netto 1º e 2º Grau;41052684.0;SEGISMUNDO A NETTO C E CM PROFEF M N;Siqueira Campos;probable;Top match claro (score 0.667 vs 0.502);0.667
